species,island,pattern,numcols,domcol
grahami,Jamaica,gradient,2,red
conspersus,SmallIsland,solid,2,black
garmani,Jamaica,solid,2,red
opalinus,Jamaica,basal,3,red
valencienni,Jamaica,solid,3,pink
lineatopus,Jamaica,gradient,3,red
reconditus,Jamaica,gradient,2,red
nitens,Mainland,basal,4,black
auratus,Mainland,solid,2,black
annectens,Mainland,speckled,3,red
onca,Mainland,reticulate,3,red
aquaticus,Mainland,striped,3,red
woodi,Mainland,solid,2,yellow
biporcatus,Mainland,gradient,4,red
polyrhachis,Mainland,solid,2,pink
uniformis,Mainland,spotted,4,pink
nebuloides,Mainland,marginal,3,pink
quercorum,Mainland,striped,2,pink
nebulosus,Mainland,reticulate,3,yellow
crassulus,Mainland,marginal,3,red
sminthus,Mainland,solid,2,red
utilensis,Mainland,solid,2,red
trachyderma,Mainland,solid,2,yellow
poecilopus,Mainland,solid,2,yellow
tropidogaster,Mainland,gradient,4,red
oxylophus,Mainland,solid,2,red
lionotus,Mainland,gradient,2,red
limifrons,Mainland,spotted,2,white
zeus,Mainland,solid,1,white
bicaorum,SmallIsland,gradient,3,red
lemurinus,Mainland,gradient,4,red
carpenteri,Mainland,striped,3,yellow
ocelloscapularis,Mainland,marginal,2,red
capito,Mainland,solid,2,red
tropidonotus,Mainland,reticulate,4,red
polylepis,Mainland,basal,3,red
cupreus,Mainland,divided,3,pink
humilis,Mainland,marginal,3,red
fuscoauratus,Mainland,striped,3,pink
altae,Mainland,gradient,3,red
pachypus,Mainland,striped,3,yellow
laeviventris,Mainland,solid,1,white
ortonii,Mainland,striped,3,red
isthmicus,Mainland,reticulate,3,yellow
sericeus,Mainland,spotted,4,yellow
quadriocellifer,Cuba,striped,3,yellow
sagrei,Cuba,marginal,2,red
ophiolepis,Cuba,solid,2,red
mestrei,Cuba,unique,3,red
homolechis,Cuba,solid,1,white
jubar,Cuba,marginal,2,pink
confusus,Cuba,gradient,2,yellow
guafe,Cuba,solid,1,white
ahli,Cuba,basal,3,yellow
allogus,Cuba,basal,4,pink
imias,Cuba,gradient,2,pink
desechensis,SmallIsland,basal,2,red
cristatellus,PuertoRico,basal,3,yellow
scriptus,SmallIsland,marginal,3,red
cooki,PuertoRico,solid,2,red
monensis,SmallIsland,gradient,2,pink
krugi,PuertoRico,solid,2,red
pulchellus,PuertoRico,basal,3,red
gundlachi,PuertoRico,gradient,3,black
poncensis,PuertoRico,solid,1,yellow
evermanni,PuertoRico,solid,2,red
stratulus,PuertoRico,marginal,2,red
acutus,SmallIsland,gradient,2,yellow
caudalis,Hispaniola,basal,2,red
marron,Hispaniola,solid,2,pink
brevirostris,Hispaniola,basal,3,red
websteri,Hispaniola,marginal,3,red
distichus,Hispaniola,marginal,3,red
marmoratus,SmallIsland,solid,2,yellow
sabanus,SmallIsland,solid,1,yellow
lividus,SmallIsland,gradient,3,red
oculatus,SmallIsland,solid,1,yellow
bimaculatus,SmallIsland,solid,2,yellow
gingivinus,SmallIsland,solid,2,red
leachi,SmallIsland,solid,2,red
schwartzi,SmallIsland,marginal,2,yellow
wattsi,SmallIsland,gradient,3,red
pogus,SmallIsland,solid,1,pink
longiceps,SmallIsland,solid,1,yellow
maynardi,SmallIsland,solid,2,yellow
brunneus,SmallIsland,gradient,2,pink
allisoni,Cuba,divided,3,pink
smaragdinus,SmallIsland,solid,2,pink
carolinensis,Mainland,solid,2,pink
porcatus,Cuba,solid,2,pink
altitudinalis,Cuba,solid,1,yellow
argillaceus,Cuba,reticulate,2,yellow
pumilis,Cuba,solid,2,pink
loysiana,Cuba,solid,2,pink
garridoi,Cuba,solid,2,pink
guazuma,Cuba,basal,2,red
tranquillus,Mainland,solid,2,pink
sheplani,Hispaniola,speckled,2,pink
placidus,Hispaniola,solid,1,pink
angusticeps,Cuba,solid,2,pink
alayoni,Cuba,solid,1,pink
cupeyalensis,Cuba,gradient,3,red
cyanopleurus,Cuba,solid,1,yellow
clivicola,Cuba,gradient,3,red
alfaroi,Cuba,solid,1,white
macilentus,Cuba,gradient,2,black
alutaceus,Cuba,gradient,2,black
inexpectatus,Cuba,solid,1,yellow
baleatus,Hispaniola,gradient,2,pink
barahonae,Hispaniola,solid,1,yellow
landestoyi,Hispaniola,reticulate,2,white
ricordii,Hispaniola,solid,2,white
eugenegrahami,Hispaniola,gradient,2,white
christophei,Hispaniola,striped,2,black
cuvieri,PuertoRico,solid,1,yellow
guamuhaya,Cuba,solid,1,white
porcus,Cuba,solid,1,white
chamaeleonides,Cuba,solid,1,white
barbatus,Cuba,speckeled,2,pink
argenteolus,Cuba,reticulate,2,black
lucius,Cuba,basal,3,white
alumina,Hispaniola,solid,1,white
semilineatus,Hispaniola,solid,2,white
olssoni,Hispaniola,striped,3,red
barbouri,Hispaniola,marginal,3,black
fowleri,Hispaniola,divided,2,red
insolitus,Hispaniola,solid,1,red
etheridgei,Hispaniola,gradient,2,white
armouri,Hispaniola,solid,1,pink
cybotes,Hispaniola,solid,1,yellow
shrevei,Hispaniola,solid,1,yellow
haetianus,Hispaniola,solid,1,white
breslini,Hispaniola,gradient,2,white
whitemani,Hispaniola,solid,1,white
strahmi,Hispaniola,gradient,3,red
marcanoi,Hispaniola,divided,3,pink
dolichocephalus,Hispaniola,solid,1,white
hendersoni,Hispaniola,solid,1,white
bahorucoensis,Hispaniola,gradient,2,red
monticola,Hispaniola,divided,3,red
darlingtoni,Hispaniola,spotted,2,white
aliniger,Hispaniola,solid,2,black
singularis,Hispaniola,solid,2,yellow
chlorocyanus,Hispaniola,divided,3,black
coelestinus,Hispaniola,striped,2,white
bartschi,Cuba,solid,1,white
vermiculatus,Cuba,reticulate,2,white
noblei,Cuba,solid,2,pink
smallwoodi,Cuba,solid,2,pink
baracoae,Cuba,solid,2,pink
luteogularis,Cuba,marginal,3,pink
equestris,Cuba,solid,1,pink
occultus,PuertoRico,solid,1,pink
fraseri,Mainland,divided,3,white
kunayalae,Mainland,basal,3,white
chocorum,Mainland,striped,2,red
frenatus,Mainland,striped,2,white
princeps,Mainland,reticulate,3,white
insignis,Mainland,stiped,2,white
microtus,Mainland,solid,1,pink
casildae,Mainland,striped,2,white
maculigula,Mainland,gradient,3,red
danieli,Mainland,striped,3,white
aequatorialis,Mainland,reticulate,4,black
anoriensis,Mainland,basal,2,white
gemmosus,Mainland,striped,2,red
ventrimaculatus,Mainland,striped,3,red
festae,Mainland,gradient,2,white
chloris,Mainland,solid,2,white
peraccae,Mainland,solid,1,white
huilae,Mainland,stiped,3,yellow
extremus,SmallIsland,striped,2,yellow
roquet,SmallIsland,striped,2,yellow
richardi,SmallIsland,gradient,2,white
trinitatus,SmallIsland,solid,1,yellow
luciae,SmallIsland,solid,2,black
fitchi,Mainland,marginal,3,yellow
podocarpus,Mainland,solid,2,black
calimae,Mainland,solid,1,yellow
tigrinus,Mainland,gradient,3,yellow
punctatus,Mainland,solid,2,yellow
transversalis,Mainland,striped,3,yellow
vanzolinii,Mainland,solid,3,red
heterodermus,Mainland,marginal,3,white
